Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Date
0,0,0,0,1,0,0.2,0.2,0,0,Feb,1,1,1,1,Returning_Visitor,FALSE,FALSE,1-Feb-22
0,0,0,0,2,64,0,0.1,0,0,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE,2-Feb-22
0,0,0,0,1,0,0.2,0.2,0,0,Feb,4,1,9,3,Returning_Visitor,FALSE,FALSE,2-Feb-22
0,0,0,0,2,2.666666667,0.05,0.14,0,0,Feb,3,2,2,4,Returning_Visitor,FALSE,FALSE,2-Feb-22
0,0,0,0,-10,627.5,0.02,0.05,0,0,Feb,3,3,1,4,Returning_Visitor,TRUE,FALSE,5-Feb-22
0,0,0,0,19,-154.2166667,0.015789474,0.024561404,0,0,Feb,2,,1,3,Returning_Visitor,FALSE,FALSE,6-Feb-22
0,0,0,0,1,0,0.2,0.2,0,0.4,Feb,2,,3,3,Returning_Visitor,?,FALSE,7-Feb-22
1,0,0,0,0,0,0.2,0.2,0,0,Feb,1,,1,5,Returning_Visitor,?,FALSE,8-Feb-22
0,0,0,0,2,37,0,0.1,0,0.8,Feb,2,,2,3,Returning_Visitor,?,FALSE,9-Feb-22
0,0,0,0,3,738,0,0.022222222,0,0.4,Feb,2,,1,2,Returning_Visitor,?,FALSE,10-Feb-22
2,9,0,0,50,836.8,0,0.006339869,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE,FALSE,4-Mar-22
10,293.7782051,2,153,96,3283.166739,0.001960784,0.013509414,0,0,Mar,3,2,6,2,Returning_Visitor,TRUE,FALSE,5-Mar-22
9,111.5,1,48.5,49,1868.819697,0,0.020708874,1.706014966,0,Mar,2,2,7,2,Returning_Visitor,FALSE,TRUE,6-Mar-22
3,47,1,51,68,3008.124108,0.007142857,0.016727891,46.53017511,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE,7-Mar-22
0,0,0,0,2,0,0.2,0.2,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE,FALSE,8-Mar-22
3,1226,5,3,24,3230.25,0.036190476,0.096,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE,9-Mar-22
3,52,0,0,9,319,0,0.02,0,0,Mar,1,1,1,1,Returning_Visitor,FALSE,FALSE,10-Mar-22
0,0,0,0,3,42,0,0.066666667,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE,11-Mar-22
0,0,0,0,22,354.3333333,0.009090909,0.057662338,0,0,Mar,1,1,7,2,Returning_Visitor,TRUE,FALSE,12-Mar-22
0,0,0,0,98,3556.61241,0.002061856,0.010173465,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE,FALSE,20-Mar-22
0,0,0,0,5,68.4,0,0.08,0,0,6,2,4,2,4,Returning_Visitor,FALSE,FALSE,15-Jun-22
3,9.5,0,0,25,528.9666667,0.007692308,0.037179487,3.296827304,0,6,2,2,2,3,Returning_Visitor,FALSE,FALSE,16-Jun-22
1,57.4,0,0,6,303.1,0.028571429,0.014285714,0,0,6,1,2,3,2,Returning_Visitor,FALSE,FALSE,17-Jun-22
0,0,0,0,38,3287,0.036842105,0.075814536,0,0,6,2,5,1,1,Returning_Visitor,FALSE,FALSE,18-Jun-22
3,56.8,1,3,73,1677.666667,0.010666667,0.040444444,0,0,6,2,2,7,1,Returning_Visitor,FALSE,FALSE,19-Jun-22
0,0,0,0,22,1321.7,0,0.010833333,0,0,6,2,2,2,13,Returning_Visitor,FALSE,FALSE,20-Jun-22
6,89.8,0,0,26,1570.133333,0,0.005357143,0,0,6,2,2,8,4,New_Visitor,TRUE,FALSE,21-Jun-22
0,0,0,0,3,33.2,0,0.066666667,0,0,6,1,1,3,1,Returning_Visitor,TRUE,FALSE,22-Jun-22
10,340.9,3,269.8,99,3611.978569,0.000641026,0.00210649,0.847337986,0,6,2,2,1,7,Returning_Visitor,FALSE,TRUE,23-Jun-22
2,254,1,39,95,4990.959524,0.004123711,0.015307716,5.638103093,0,May,2,2,1,6,Returning_Visitor,FALSE,TRUE,4-May-22
0,0,0,0,4,158,0.05,0.1,0,0,May,2,2,4,13,Returning_Visitor,FALSE,FALSE,5-May-22
0,0,0,0,77,3332.208333,0.002040816,0.024719927,0,0.6,May,2,2,3,6,Returning_Visitor,FALSE,FALSE,6-May-22
0,0,0,0,130,4164.936905,0.006153846,0.012319347,0,0,May,3,2,6,13,Returning_Visitor,FALSE,FALSE,7-May-22
0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,1,3,Returning_Visitor,FALSE,FALSE,8-May-22
5,85.66666667,0,0,25,1194.5,0,0.007692308,11.51923077,0,May,2,2,1,2,New_Visitor,FALSE,TRUE,9-May-22
3,154.5,0,0,21,638.3333333,0,0.047222222,0,0,May,2,5,4,4,Returning_Visitor,FALSE,FALSE,10-May-22
0,0,0,0,13,152.25,0.030769231,0.025641026,0,0,May,1,2,5,2,Returning_Visitor,FALSE,FALSE,11-May-22
0,0,0,0,17,631.5,0.011764706,0.064705882,0,0.8,May,2,2,1,13,Returning_Visitor,FALSE,FALSE,12-May-22
0,0,0,0,9,58,0.155555556,0.177777778,0,0,May,1,1,1,3,Returning_Visitor,TRUE,FALSE,13-May-22
0,0,0,0,44,1341.716667,0.008888889,0.046666667,0,0,June,2,2,2,2,Returning_Visitor,FALSE,FALSE,1-Jun-22
4,57.3,0,0,25,488.7166667,0.021428571,0.067517007,0,0,June,2,5,1,1,Returning_Visitor,FALSE,FALSE,2-Jun-22
0,0,0,0,9,250.2,0.022222222,0.033333333,0,0,June,2,2,4,1,Returning_Visitor,FALSE,FALSE,3-Jun-22
0,0,0,0,43,1606.45,0,0.004761905,18.51505467,0,June,4,1,1,2,New_Visitor,FALSE,TRUE,4-Jun-22
11,110.7866667,5,89.1,230,9050.459482,0.006722689,0.01755845,2.664994971,0,June,2,2,6,1,Returning_Visitor,FALSE,FALSE,5-Jun-22
2,12.6,0,0,7,62.8,0,0.022222222,0,0,June,1,1,4,4,Returning_Visitor,FALSE,FALSE,6-Jun-22
0,0,0,0,27,263.2666667,0,0.038518519,0,0,June,2,2,1,3,Returning_Visitor,FALSE,FALSE,7-Jun-22
0,0,1,0,5,85.6,0.011111111,0.046666667,0,0,June,3,2,6,2,Returning_Visitor,FALSE,FALSE,8-Jun-22
1,28.2,0,0,2,0,0.066666667,0.133333333,0,0,June,1,8,2,3,New_Visitor,TRUE,FALSE,9-Jun-22
0,0,0,0,1,0,0.2,0.2,0,0,June,2,2,1,3,Returning_Visitor,FALSE,FALSE,10-Jun-22
0,0,0,0,4,41.4,0.075,0.125,0,0,Jul,3,2,6,1,Returning_Visitor,FALSE,FALSE,8-Jul-22
2,47.4,0,0,14,478.6,0.04375,0.079166667,0,0,Jul,4,1,1,4,Returning_Visitor,TRUE,FALSE,9-Jul-22
3,33.2,0,0,10,278.4333333,0.007142857,0.026190476,32.70034468,0,Jul,2,2,6,1,Returning_Visitor,FALSE,TRUE,10-Jul-22
2,55.4,0,0,25,402.75,0.015384615,0.034065934,0,0,Jul,3,2,5,1,Returning_Visitor,FALSE,FALSE,11-Jul-22
0,0,0,0,1,0,0.1,0.2,0,0,Jul,2,2,2,5,New_Visitor,TRUE,FALSE,12-Jul-22
3,13.73333333,1,2,27,407.6833333,0.006666667,0.011555556,0,0,Jul,2,2,1,4,Returning_Visitor,FALSE,TRUE,13-Jul-22
1,92.6,0,0,4,207.9333333,0,0.04,0,0,Jul,1,1,9,20,New_Visitor,FALSE,FALSE,14-Jul-22
0,0,0,0,47,902.77,0.022222222,0.04037037,0,0,Jul,3,2,8,1,Returning_Visitor,FALSE,FALSE,15-Jul-22
0,0,0,0,16,519.8666667,0,0,0,0,Jul,1,1,1,4,Returning_Visitor,FALSE,FALSE,16-Jul-22
3,28.8,5,2195.3,21,378.4,0.02962963,0.030864198,0,0,Jul,1,1,3,1,Returning_Visitor,FALSE,FALSE,17-Jul-22
5,46.52,0,0,133,2248.914286,0.012077922,0.029349567,6.373770623,0,Jul,1,1,1,4,Returning_Visitor,FALSE,TRUE,18-Jul-22
0,0,0,0,16,645.2,0.0125,0.05,0,0,Jul,4,1,3,1,Returning_Visitor,TRUE,FALSE,19-Jul-22
1,17.1,1,31.2,45,812.2873894,0,0.022732152,4.395471544,0,Aug,2,4,3,2,Returning_Visitor,FALSE,TRUE,6-Aug-22
0,0,0,0,4,86.36,0.0625,0.11875,0,0,Aug,3,2,4,1,Returning_Visitor,TRUE,FALSE,7-Aug-22
0,0,0,0,63,1779.163333,0.003278689,0.020243418,0,0,Aug,2,2,1,1,Returning_Visitor,FALSE,FALSE,8-Aug-22
7,68.4,0,0,145,5175.377371,0.002666667,0.008978355,2.042762326,0,Aug,2,2,1,1,Returning_Visitor,FALSE,TRUE,9-Aug-22
6,45.03333333,1,69.6,120,5771.466862,0.002755906,0.014537746,4.586910248,0,Aug,4,2,1,2,Returning_Visitor,FALSE,FALSE,10-Aug-22
12,137.9,0,0,13,161.8666667,0,0.010526316,0,0,Aug,2,2,3,5,New_Visitor,TRUE,FALSE,11-Aug-22
0,0,0,0,2,4,0,0.1,0,0,Aug,2,2,1,1,Returning_Visitor,FALSE,FALSE,12-Aug-22
0,0,0,0,10,45.2,0.08,0.1,0,0,Aug,1,1,1,3,Returning_Visitor,FALSE,FALSE,13-Aug-22
1,12,0,0,0,0,0,0.022222222,0,0,Aug,3,2,6,2,Returning_Visitor,TRUE,TRUE,14-Aug-22
6,66.55,0,0,41,1556.523333,0.005681818,0.012878788,0,0,Aug,3,2,1,4,Returning_Visitor,TRUE,FALSE,15-Aug-22
2,423.6,0,0,46,2031.506667,0.013043478,0.023913043,0,0,Aug,2,2,4,1,Returning_Visitor,FALSE,FALSE,16-Aug-22
8,628.3666667,1,0,131,4044.465674,0.008889185,0.030612404,0,0,Aug,1,1,3,2,Returning_Visitor,FALSE,FALSE,17-Aug-22
0,0,0,0,16,1062.666667,0,0.0125,54.56704868,0,Sep,4,1,1,4,New_Visitor,FALSE,TRUE,12-Sep-22
1,48.4,0,0,22,2707.386667,0,0.009722222,0,0,Sep,3,2,1,1,Returning_Visitor,TRUE,FALSE,13-Sep-22
0,0,0,0,2,12,0.1,0.1,0,0,Sep,4,1,1,2,Returning_Visitor,FALSE,FALSE,14-Sep-22
1,41.4,0,0,30,558.6111111,0.009090909,0.046464646,0,0,Sep,2,10,2,1,Returning_Visitor,FALSE,TRUE,15-Sep-22
3,397.7,4,1093.3,66,4152.7631,0.014979592,0.017561939,6.282904602,0,Sep,3,2,8,4,Returning_Visitor,TRUE,FALSE,16-Sep-22
16,932.7971429,0,0,40,991.7155466,0.008888889,0.011659808,0,0,Sep,1,2,1,1,Returning_Visitor,FALSE,FALSE,17-Sep-22
1,10,0,0,5,354.9,0,0.06,0,0,Sep,2,2,5,1,Returning_Visitor,FALSE,FALSE,18-Sep-22
1,67.5,0,0,28,873.64,0,0.006785714,0,0,Sep,3,2,1,6,Returning_Visitor,FALSE,FALSE,19-Sep-22
1,62.46666667,0,0,5,165.1,0,0.016666667,0,0,Sep,3,2,3,3,New_Visitor,FALSE,FALSE,20-Sep-22
10,164.0666667,0,0,37,1553.52381,0.005128205,0.01025641,0,0,Sep,2,2,1,2,Returning_Visitor,FALSE,FALSE,21-Sep-22
18,189.2646154,0,0,38,777.4146154,0.004255319,0.016960486,0,0,Sep,2,2,1,3,Returning_Visitor,TRUE,FALSE,22-Sep-22
1,5.066666667,0,0,32,441.6045455,0,0.00625,0,0,Sep,2,2,6,3,New_Visitor,FALSE,FALSE,23-Sep-22
2,104.3,0,0,48,2307.661212,0.025510204,0.035488428,4.348145623,0,Oct,1,1,4,1,Returning_Visitor,TRUE,FALSE,7-Oct-22
1,12,0,0,36,493.3033901,0,0.01660575,0,0,Oct,2,2,5,2,Returning_Visitor,FALSE,FALSE,8-Oct-22
1,26.2,0,0,4,106.8,0,0.04,36.66178288,0,Oct,2,2,2,5,New_Visitor,FALSE,TRUE,9-Oct-22
2,79.6,3,332.08,34,1011.016667,0.018918919,0.043243243,5.128358233,0,Oct,2,2,7,1,Returning_Visitor,FALSE,TRUE,10-Oct-22
4,159,0,0,16,307.6166667,0,0.010526316,0,0,Oct,1,1,3,2,Returning_Visitor,TRUE,FALSE,11-Oct-22
7,227.9,0,0,22,701.0166667,0,0.001666667,0,0,Oct,2,4,4,2,Returning_Visitor,FALSE,FALSE,12-Oct-22
1,0,0,0,3,259,0,0.04,48.04726202,0,Oct,2,2,1,4,Returning_Visitor,FALSE,TRUE,13-Oct-22
0,0,0,0,6,86.53333333,0,0.066666667,0,0,Oct,1,1,7,2,Returning_Visitor,TRUE,FALSE,14-Oct-22
0,0,0,0,42,844.58,0.05952381,0.085396825,0,0,Oct,3,2,1,3,Returning_Visitor,FALSE,FALSE,15-Oct-22
1,23.2,0,0,30,964.4666667,0,0.003571429,51.03362522,0,Oct,2,2,5,2,New_Visitor,FALSE,TRUE,16-Oct-22
5,150.7,0,0,12,201.6,0.026666667,0.04,0,0,Oct,1,1,4,2,New_Visitor,FALSE,FALSE,17-Oct-22
5,66.6,0,0,13,523.6,0,0.013333333,0,0,Oct,2,2,6,3,Returning_Visitor,FALSE,FALSE,18-Oct-22
7,297.6,0,0,66,3572.241757,0.005797101,0.012314449,7.766280897,0,Oct,2,2,8,2,Returning_Visitor,FALSE,FALSE,19-Oct-22
4,204.2,0,0,31,652.3766667,0.012121212,0.016161616,0,0,Nov,1,1,6,1,Returning_Visitor,FALSE,FALSE,10-Nov
0,0,0,0,13,710.0666667,0,0.007692308,72.52283848,0,Nov,1,1,2,2,Returning_Visitor,FALSE,TRUE,11-Nov
0,0,0,0,24,968.6924242,0,0,106.2525169,0,Nov,1,1,9,2,Returning_Visitor,FALSE,TRUE,12-Nov
13,1013.056909,2,102.8,77,2697.022104,0,0.009471471,1.798669862,0,Nov,1,1,9,2,Returning_Visitor,FALSE,FALSE,13-Nov
1,86.6,0,0,14,349.5761905,0,0.004761905,60.43737784,0,Nov,1,1,1,3,New_Visitor,FALSE,TRUE,14-Nov
6,545.65,3,204.3466667,69,1182.432333,0.000684932,0.002998087,19.71529542,0,Nov,2,2,1,13,Returning_Visitor,TRUE,TRUE,15-Nov
3,94.6,0,0,16,1254,0,0.019327731,0,0,Nov,3,2,7,2,New_Visitor,TRUE,FALSE,16-Nov
6,82.14,0,0,12,191.1,0,0.0125,0,0,Nov,2,4,9,4,Returning_Visitor,FALSE,FALSE,17-Nov
6,85.2,0,0,11,203,0,0,0,0,Nov,2,2,5,2,Returning_Visitor,FALSE,FALSE,18-Nov
2,196.6,0,0,0,0,0,0.033333333,0,0,Nov,3,2,9,5,New_Visitor,TRUE,FALSE,19-Nov
2,21,0,0,25,278.1366667,0,0.007692308,77.4579855,0,Nov,2,2,7,2,New_Visitor,FALSE,FALSE,20-Nov
0,0,5,663.9166667,47,2059.7,0.005769231,0.033243423,0,0,Dec,3,2,3,6,Returning_Visitor,FALSE,FALSE,12-Dec
2,15,0,0,44,1412.270833,0.004347826,0.015483092,0,0,Dec,2,2,1,2,New_Visitor,FALSE,FALSE,13-Dec
0,0,0,0,14,561.6666667,0,0.025,0,0,Dec,2,2,9,10,Returning_Visitor,FALSE,FALSE,14-Dec
4,106.5,0,0,12,806.25,0.0125,0.029166667,0,0,Dec,2,2,1,2,Returning_Visitor,FALSE,FALSE,15-Dec
1,22,0,0,5,180.5,0,0.033333333,0,0,Dec,3,2,6,20,New_Visitor,FALSE,FALSE,16-Dec
5,209.625,2,118.75,21,398,0.006896552,0.02183908,0,0,Dec,2,2,4,2,New_Visitor,FALSE,FALSE,17-Dec
6,93.125,0,0,29,424.125,0,0.020689655,0,0,Dec,1,8,1,1,Returning_Visitor,FALSE,FALSE,18-Dec
0,0,0,0,10,73.5,0.12,0.15,0,0,Dec,3,2,1,13,Returning_Visitor,TRUE,FALSE,19-Dec
3,77.33333333,2,7,24,1051.291667,0,0.014814815,0,0,Dec,2,13,9,20,Returning_Visitor,FALSE,FALSE,20-Dec
0,0,0,0,33,1132.791667,0.009090909,0.047474747,0,0,Dec,4,1,3,1,Returning_Visitor,FALSE,FALSE,21-Dec
5,446.25,0,0,18,815.25,0,0.0025,0,0,Dec,8,13,9,20,Other,FALSE,FALSE,22-Dec
0,0,0,0,10,351.75,0.033333333,0.05,0,0,Dec,2,2,4,1,Returning_Visitor,TRUE,FALSE,23-Dec
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,7,1,Returning_Visitor,TRUE,FALSE,24-Dec
1,5,0,0,8,203,0,0.00952381,0,0,Dec,2,4,1,2,New_Visitor,FALSE,FALSE,25-Dec
